"Features of cell nuclei in mouse embryos","Tue 11 Jun 2019 13:13:48","","","","","",""
"from Hadjantonakis lab (https://www.nature.com/articles/ncomms13463), postprocessed in https://www.sciencedirect.com/science/article/pii/S0006349518312578","","","","","","",""
"EmbryoID","CentroidX","CentroidY","CentroidZ","Population","DCGNeighborCount","Nanog-ebLogCor","Gata6-ebLogCor"
4,95.16347,56.91524999999999,84.332,"TE",6.,2.24430448926732,4.71552590122885
4,91.57715,108.94326,82.589,"TE",5.,2.14525503177292,5.37891957361053
4,80.90316,53.11211,86.595,"TE",6.,2.31053765177317,5.80206030702989
4,103.2825,67.33726,86.705,"TE",5.,2.07116229047598,5.0444197750915
4,55.00196,82.40917999999999,86.784,"PRE",8.,2.68893020600704,6.42828936629131
4,57.07346999999999,50.34912,86.115,"TE",4.,1.7970758497231,4.57596511212259
4,103.93002999999999,82.88383999999999,88.816,"TE",7.,1.93072211657779,5.13063056832341
4,43.762480000000004,79.48797,90.98,"TE",8.,3.66665974474292,4.89081320044185
4,90.42566,76.15948999999999,93.708,"TE",7.,2.42085918302202,5.36572534477629
4,83.48156,90.08285,93.554,"TE",4.,2.05664660340197,5.53957133754982
4,47.460139999999996,82.60842,90.763,"TE",6.,2.53844087589676,5.6656992361346
4,63.64253,85.90759999999999,94.215,"TE",7.,1.71009253095693,5.24363452078829
5,75.42113,68.56492999999999,3.6017,"TE",5.,3.13543899177182,5.49267746784808
5,65.98653,58.21030999999999,6.0929,"TE",8.,3.12291343289835,5.37206968181091
5,39.56965,66.41138,5.2053,"TE",10.,4.22730793422258,5.05593869691982
5,78.75547,80.81233,5.2937,"TE",7.,4.92911964412876,5.35716147438113
5,52.18623,74.57728999999999,5.2843,"TE",12.,3.3689212731822,5.55490064862451
5,49.657639999999994,59.71925999999999,8.73,"TE",9.,2.99574859568947,5.1702748604285
5,97.4518,72.42374,8.9111,"TE",6.,4.54291650470484,5.20908584342467
5,45.16009,85.15751999999999,5.7407,"TE",10.,4.99197205153352,5.26751654922676
5,61.41573,92.56163000000001,9.2677,"TE",9.,2.78629079970969,4.88255311922828
5,90.57508999999999,57.858709999999995,10.557,"TE",7.,1.96066050358398,4.82153729620772
5,30.11747,59.839389999999995,10.877,"TE",11.,3.96146373862537,5.20838195010644
5,35.39147,83.22664999999999,12.974,"DP",12.,5.90810033447779,4.78578954067248
5,95.30703999999999,89.81328999999998,11.564,"TE",7.,5.24084924043031,5.58659650634189
5,37.65929,68.83449,13.655,"DP",12.,5.90626332842509,5.21604143120865
5,79.36491,98.88749999999999,13.406,"TE",6.,2.65232405497477,5.04891575547403
5,19.473366,83.32041,15.351,"TE",9.,3.72802815358471,5.33443074337764
